,lr,type,id,sentiment class,review text
0, ,Test point,5,1,"I saw this film on September 1st , 2005 in Indianapolis . I am one of the judges for the Heartland Film Festival that screens films for their Truly Moving Picture Award . A Truly Moving Picture "" ... "
1,1e-05,Positive 1,13580,1,"I find I enjoy this show , but the format needs some work . First off , the good attributes . I like how this show will take us through the day - to - day life of an addict because the producers have "
2,1e-05,Positive 2,7838,1,I simply ca n't get over how brilliant the pairing of Walter Matthau and Jack Lemmon is . It 's like the movie does n't even need additional characters because you can never get tired of the dialog be
3,1e-05,Positive 3,7322,1,"The film notes describe the main role family , as Turkish immigrants which living in Denmark . However , it is so clear to understand that the fact is , the behavior and the culture point the family i"
4,0.0001,Positive 1,13580,1,"I find I enjoy this show , but the format needs some work . First off , the good attributes . I like how this show will take us through the day - to - day life of an addict because the producers have "
5,0.0001,Positive 2,7838,1,I simply ca n't get over how brilliant the pairing of Walter Matthau and Jack Lemmon is . It 's like the movie does n't even need additional characters because you can never get tired of the dialog be
6,0.0001,Positive 3,7322,1,"The film notes describe the main role family , as Turkish immigrants which living in Denmark . However , it is so clear to understand that the fact is , the behavior and the culture point the family i"
7,0.001,Positive 1,13580,1,"I find I enjoy this show , but the format needs some work . First off , the good attributes . I like how this show will take us through the day - to - day life of an addict because the producers have "
8,0.001,Positive 2,7838,1,I simply ca n't get over how brilliant the pairing of Walter Matthau and Jack Lemmon is . It 's like the movie does n't even need additional characters because you can never get tired of the dialog be
9,0.001,Positive 3,7322,1,"The film notes describe the main role family , as Turkish immigrants which living in Denmark . However , it is so clear to understand that the fact is , the behavior and the culture point the family i"
10,0.01,Positive 1,13580,1,"I find I enjoy this show , but the format needs some work . First off , the good attributes . I like how this show will take us through the day - to - day life of an addict because the producers have "
11,0.01,Positive 2,7838,1,I simply ca n't get over how brilliant the pairing of Walter Matthau and Jack Lemmon is . It 's like the movie does n't even need additional characters because you can never get tired of the dialog be
12,0.01,Positive 3,7322,1,"The film notes describe the main role family , as Turkish immigrants which living in Denmark . However , it is so clear to understand that the fact is , the behavior and the culture point the family i"
13,0.1,Positive 1,13580,1,"I find I enjoy this show , but the format needs some work . First off , the good attributes . I like how this show will take us through the day - to - day life of an addict because the producers have "
14,0.1,Positive 2,7838,1,I simply ca n't get over how brilliant the pairing of Walter Matthau and Jack Lemmon is . It 's like the movie does n't even need additional characters because you can never get tired of the dialog be
15,0.1,Positive 3,7322,1,"The film notes describe the main role family , as Turkish immigrants which living in Denmark . However , it is so clear to understand that the fact is , the behavior and the culture point the family i"
16,1,Positive 1,7838,1,I simply ca n't get over how brilliant the pairing of Walter Matthau and Jack Lemmon is . It 's like the movie does n't even need additional characters because you can never get tired of the dialog be
17,1,Positive 2,13580,1,"I find I enjoy this show , but the format needs some work . First off , the good attributes . I like how this show will take us through the day - to - day life of an addict because the producers have "
18,1,Positive 3,7322,1,"The film notes describe the main role family , as Turkish immigrants which living in Denmark . However , it is so clear to understand that the fact is , the behavior and the culture point the family i"
19,10,Positive 1,8943,1,"I like this episode quite a bit , Ruth Gordon is good if not a little hammy as she always was . As has been stated , the music is very good , and it has a moodiness that does n't exist in all episodes"
20,10,Positive 2,1895,1,"This is one of the best movies to come from Bollywood in years . Certainly the best this year until now . Indian to the core , the panoramic visuals , the heart - pleasing dialogs and the melodious an"
21,10,Positive 3,526,1,"I remember seeing this movie when I was about 7 ; and at the time it shocked me . I had seen a violent movie before , but I never saw a movie with the consequences and reality of violence . This movie"
22,100,Positive 1,11128,1,"I have n't seen the original "" Incredible Journey "" since I was a child , so I ca n't really compare the two versions . This version tells the story of three animals , two dogs and a cat , whose owner"
23,100,Positive 2,11508,1,"I have not read the novel , or anything other by Kurt Vonnegut , but I am now intending to start . This grips you from the very first frame , and does not let go until the end credits start rolling . "
24,100,Positive 3,10725,1,"I saw True Crime when it was first released back in the mid - nineties and I have watched it many times since . It is a great mystery about Mary ( played by Alicia Silverstone ) , a high school senior"
